Accession,CD
P26717,CD159c
P26718,CD314
P26842,CD27
P26951,CD123
P27487,CD26
P27701,CD82
P27930,CD121b
P28906,CD34
P28907,CD38
P28908,CD30
P29016,CD1b
P29017,CD1c
P29965,CD154
P30203,CD6
P31358,CD52
P31785,CD132
P31994,CD32
P31995,CD32
P31997,CD66b
P32004,CD171
P32246,CD191
P32248,CD197
P32302,CD185
P32927,CD131
P32942,CD50
P32970,CD70
P32971,CD153
P33151,CD144
P33681,CD80
P34741,CD362
P34810,CD68
P34910,CD361
P35613,CD147
P35968,CD309
P36888,CD135
P36894,CD292
P38570,CD103
P40189,CD130
P40197,CD42d
P40198,CD66d
P40199,CD66c
P40200,CD96
P40238,CD110
P40259,CD79b
P41217,CD200
P41597,CD192
P41732,CD231
P42081,CD86
P42701,CD212
P42702,CD118
P43121,CD146
P43489,CD134
P43626,CD158a
P43627,CD158b1
P43628,CD158b2
P43629,CD158e
P43630,CD158k
P43631,CD158j
P43632,CD158i
P48023,CD178
P48357,CD295
P48509,CD151
P48960,CD97
P49682,CD183
P49961,CD39
P50895,CD239
P51677,CD193
P51679,CD194
P51681,CD195
P51684,CD196
P51685,CDw198
P51686,CDw199
P52961,CD296
P54709,CD298
P56199,CD49a
P57087,CD322
P59901,CD85g
P61073,CD184
P78324,CD172a
P78325,CD156a
P78504,CD339
P78536,CD156b
P78552,CD213a1
Q01113,CD129
Q01151,CD83
Q01344,CD125
Q02094,CD241
Q02223,CD269
Q02763,CD202b
Q03405,CD87
Q04900,CD164
Q04912,CD136
Q07011,CD137
Q07075,CD249
Q07108,CD69
Q07954,CD91
Q08334,CDw210b
Q08345,CD167a
Q08708,CD300c
Q08722,CD47
Q10588,CD157
Q10589,CD317
Q12913,CD148
Q12918,CD161
Q13261,CD215
Q13291,CD150
Q13349,CD11d
Q13478,CD218a
Q13651,CD210
Q13740,CD166
Q14242,CD162
Q14627,CD213a2
Q14773,CD242
Q14953,CD158g
Q14954,CD158h
Q15116,CD279
Q15223,CD111
Q15399,CD281
Q15762,CD226
Q16570,CD234
Q16832,CD167b
Q496F6,CD300e
Q5ZPR3,CD276
Q6GTX8,CD305
Q6UXG3,CD300g
Q6UXZ3,CD300d
Q6YHK3,CD109
Q7Z6A9,CD272
Q86VB7,CD163
Q8IX05,CD302
Q8N109,CD158f1
Q8N149,CD85h
Q8N423,CD85d
Q8N6Q3,CD177
Q8N743,CD158z
Q8NHK3,CD158f2
Q8NHL6,CD85j
Q8TDQ1,CD300f
Q8WWI5,CD92
Q8WWV6,CD351
Q92692,CD112
Q92854,CD100
Q92956,CD270
Q93033,CD101
Q93070,CD297
Q969P0,CD316
Q96DU3,CD352
Q96F46,CD217
Q96LA5,CD307b
Q96LA6,CD307a
Q96P31,CD307c
Q96PJ5,CD307d
Q96RD9,CD307e
Q99062,CD114
Q99467,CD180
Q99706,CD158d
Q9BQ51,CD273
Q9BXR5,CD290
Q9BZW8,CD244
Q9BZZ2,CD169
Q9H2X3,CD299
Q9H5V8,CD318
Q9HBE5,CD360
Q9HBG7,CD229
Q9HCU0,CD248
Q9NP99,CD354
Q9NPF0,CD320
Q9NPY3,CD93
Q9NQ25,CD319
Q9NQS3,CD113
Q9NR16,CD163b
Q9NR96,CD289
Q9NR97,CD288
Q9NYZ4,CD329
Q9NZQ7,CD274
Q9P0V8,CD353
Q9P1W8,CD172g
Q9P2B2,CD315
Q9UBG0,CD280
Q9UBN6,CD264
Q9UGN4,CD300a
Q9UHX3,CD312
Q9UIB8,CD84
Q9ULV1,CD344
Q9ULW2,CD350
Q9UM73,CD246
Q9UNN8,CD201
Q9UNQ0,CD338
Q9UQV4,CD208
Q9Y275,CD257
Q9Y286,CD328
Q9Y2C9,CD286
