Accession,CD
Q8TDQ0, CD366
Q9UMR7, CD367
Q8WXI8, CD368
Q9BXN2, CD369
Q8WTV0, CD36l1
Q14108, CD36l2
P11049, CD37
Q6UXN8, CD370
Q5QGZ9, CD371
P28907, CD38
P49961, CD39
P04234, CD3d
P07766, CD3e
P09693, CD3g
P01730, CD4
P25942, CD40
P08514, CD41
P14770, CD42a
P07359, CD42b
P13224, CD42c
P40197, CD42d
P16150, CD43
P16070, CD44
P08575, CD45
P15529, CD46
Q08722, CD47
P09326, CD48
P56199, CD49a
P17301, CD49b
P26006, CD49c
P13612, CD49d
P08648, CD49e
P23229, CD49f
P06127, CD5
P32942, CD50
P06756, CD51
P31358, CD52
P19397, CD53
P05362, CD54
P08174, CD55
P13591, CD56
P19256, CD58
P13987, CD59
P30203, CD6
P05106, CD61
P16581, CD62E
P14151, CD62L
P16109, CD62P
P08962, CD63
P12314, CD64
P13688, CD66a
P31997, CD66b
P40199, CD66c
P40198, CD66d
P06731, CD66e
P11464, CD66f
P34810, CD68
Q07108, CD69
P09564, CD7
P32970, CD70
P02786, CD71
P21854, CD72
P21589, CD73
P04233, CD74
P11912, CD79a
P40259, CD79b
P33681, CD80
P60033, CD81
P27701, CD82
Q01151, CD83
Q9UIB8, CD84
O75022, CD85a
O75023, CD85c
Q8N423, CD85d
Q8N6C8, CD85e
A6NI73, CD85f
P59901, CD85g
Q8N149, CD85h
O75019, CD85i
Q8NHL6, CD85j
Q8NHJ6, CD85k
P42081, CD86
Q03405, CD87
P21730, CD88
P24071, CD89
P01732, CD8a
P10966, CD8b
P21926, CD9
P04216, CD90
Q07954, CD91
Q8WWI5, CD92
Q9NPY3, CD93
Q13241, CD94
P25445, CD95
P40200, CD96
P48960, CD97
P08195, CD98
P14209, CD99
Q8TCZ2, CD99l2
P51685, CDw198
P51686, CDw199
Q08334, CDw210b
O00238, CDw293
